1,0,0,0,0 days 00:00:06.972552
3,213,60,0:00:08.506678,0 days 00:00:16.437778
5,231,60,0:00:08.574021,0 days 00:00:26.151933
19,235,65,0:00:09.377559,0 days 00:01:32.347494
39,449,79,0:00:11.374498,0 days 00:03:09.755310
41,453,76,0:00:10.872329,0 days 00:03:21.837375
43,468,81,0:00:11.604664,0 days 00:03:34.544263
45,669,101,0:00:14.281123,0 days 00:03:49.928471
47,693,101,0:00:14.320255,0 days 00:04:05.428445
49,705,102,0:00:14.520796,0 days 00:04:20.928798
51,735,105,0:00:14.960091,0 days 00:04:36.871227
75,738,112,0:00:16.311286,0 days 00:08:01.280704
87,773,118,0:00:17.034530,0 days 00:09:40.225520
119,774,119,0:00:17.139668,0 days 00:14:13.006260
128,786,129,0:00:18.739814,0 days 00:15:41.365142
130,830,132,0:00:18.900927,0 days 00:16:01.461266
193,832,130,0:00:18.801437,0 days 00:26:07.695759
236,888,141,0:00:20.012467,0 days 00:33:03.332087
246,898,143,0:00:20.224525,0 days 00:34:43.454565
259,901,143,0:00:20.186816,0 days 00:37:02.299926
297,908,144,0:00:20.345543,0 days 00:43:42.972303
